time,voltage_ch1,voltage_ch2,voltage_ch3,voltage_ch4
-0.002,0.0,1.0,0.0,0.0
-0.001999968,0.0,1.0,0.0,0.0
-0.001999936,0.0,1.0,0.0,0.2
-0.001999904,0.0,1.2,0.0,0.0
-0.001999872,0.0,1.0,0.0,0.2
-0.00199984,0.0,1.0,0.0,0.0
-0.001999808,0.0,1.2,0.0,0.0
-0.001999776,0.0,1.2,0.0,0.0
-0.001999744,0.0,1.0,0.0,0.0
-0.001999712,0.0,1.2,0.0,0.0
-0.00199968,0.0,1.0,-0.2,0.0
-0.001999648,0.0,1.0,0.0,0.0
-0.001999616,-0.2,1.0,-0.2,0.0
-0.001999584,-0.2,1.2,0.0,0.0
-0.001999552,0.0,1.0,0.0,0.0
-0.00199952,0.0,1.0,0.0,0.0
-0.001999488,-0.2,1.0,0.0,0.0
-0.001999456,0.0,1.2,0.0,0.0
-0.001999424,0.0,1.0,-0.2,0.0
-0.001999392,0.0,1.0,0.0,0.0
-0.00199936,0.0,1.2,0.0,0.0
-0.001999328,0.0,1.0,-0.2,0.0
-0.001999296,0.0,1.0,-0.2,0.0
-0.001999264,0.0,1.2,0.0,0.0
-0.001999232,-0.2,1.2,0.0,0.0
-0.0019992,-0.2,1.0,-0.2,0.0
-0.001999168,0.0,1.0,-0.2,0.0
-0.001999136,0.0,1.0,0.0,0.0
-0.001999104,0.0,1.0,0.0,0.0
-0.001999072,0.0,1.2,0.0,0.0
-0.00199904,0.0,1.2,-0.2,0.0
-0.001999008,-0.2,1.2,0.0,0.0
-0.001998976,0.0,1.0,-0.2,0.0
-0.001998944,0.0,1.0,0.0,0.0
-0.001998912,0.0,1.0,0.0,0.0
-0.00199888,0.0,1.0,-0.2,0.2
-0.001998848,-0.2,1.0,-0.2,0.0
-0.001998816,0.0,1.0,0.0,0.0
-0.001998784,0.0,1.0,0.0,0.0
-0.001998752,0.0,1.0,0.0,0.0
-0.00199872,0.0,1.0,0.0,0.0
-0.001998688,0.0,1.2,0.0,0.0
-0.001998656,0.0,1.2,0.0,0.0
-0.001998624,0.0,1.0,-0.2,0.0
-0.001998592,0.0,1.0,0.0,0.2
-0.00199856,-0.2,1.0,0.0,0.2
-0.001998528,-0.2,1.0,0.0,0.0
-0.001998496,0.0,1.2,-0.2,0.0
-0.001998464,0.0,1.0,0.0,0.2
-0.001998432,0.0,1.0,0.0,0.0
-0.0019984,0.0,1.0,0.0,0.2
-0.001998368,-0.2,1.0,0.0,0.0
-0.001998336,0.0,1.0,0.0,0.0
-0.001998304,0.0,1.2,0.0,0.0
-0.001998272,0.0,1.2,0.0,0.0
-0.00199824,0.0,1.2,-0.2,0.0
-0.001998208,0.0,1.0,0.0,0.0
-0.001998176,0.0,1.2,0.0,0.0
-0.001998144,0.0,1.2,0.0,0.0
-0.001998112,0.0,1.0,0.0,0.0
-0.00199808,-0.2,1.0,0.0,0.0
-0.001998048,-0.2,1.0,0.0,0.0
-0.001998016,0.0,1.2,0.0,0.0
-0.001997984,0.2,1.0,0.0,0.0
-0.001997952,0.0,1.2,0.0,0.0
-0.00199792,0.0,1.0,-0.2,0.2
-0.001997888,0.0,1.2,0.0,0.0
-0.001997856,0.0,1.0,0.0,0.0
-0.001997824,0.0,1.2,0.0,0.0
-0.001997792,0.0,1.2,0.0,0.0
-0.00199776,0.0,1.0,0.0,0.0
-0.001997728,0.0,1.2,0.0,0.0
-0.001997696,0.0,1.2,0.0,0.0
-0.001997664,-0.2,1.0,0.0,0.0
-0.001997632,0.0,1.0,0.0,0.0
-0.0019976,-0.2,1.2,0.0,0.0
-0.001997568,0.0,1.2,0.0,0.0
-0.001997536,0.0,1.0,0.0,0.0
-0.001997504,0.0,1.0,-0.2,0.2
-0.001997472,0.0,1.2,0.0,0.0
-0.00199744,0.0,1.0,-0.2,0.0
-0.001997408,0.0,1.2,0.0,0.0
-0.001997376,0.0,1.2,0.0,0.0
-0.001997344,0.0,1.2,0.0,0.0
-0.001997312,0.0,1.0,0.0,0.0
-0.00199728,0.0,1.2,0.0,0.2
-0.001997248,0.0,1.0,0.0,0.0
-0.001997216,0.0,1.0,0.0,0.0
-0.001997184,0.0,1.2,0.0,0.0
-0.001997152,0.0,1.0,-0.2,0.2
-0.00199712,-0.2,1.0,0.0,0.0
-0.001997088,0.0,1.2,0.0,0.0
-0.001997056,0.0,1.0,-0.2,0.0
-0.001997024,0.0,1.2,0.0,0.0
-0.001996992,0.0,1.0,0.0,0.0
-0.00199696,0.0,1.0,-0.2,0.0
-0.001996928,0.0,1.0,0.0,0.0
-0.001996896,0.0,1.2,0.0,0.0
-0.001996864,0.0,1.0,-0.2,0.0
-0.001996832,0.0,1.0,0.0,0.2
-0.0019968,0.0,1.2,0.0,0.2
-0.001996768,0.0,1.0,0.0,0.0
-0.001996736,0.0,1.0,0.0,0.0
-0.001996704,0.0,1.0,-0.2,0.0
-0.001996672,0.0,1.0,0.0,0.0
-0.00199664,0.0,1.0,0.0,0.0
-0.001996608,0.0,1.0,-0.2,0.0
-0.001996576,0.0,1.2,0.0,0.2
-0.001996544,0.0,1.2,-0.2,0.0
-0.001996512,0.0,1.0,-0.2,0.0
-0.00199648,0.0,1.2,0.0,0.0
-0.001996448,0.0,1.0,0.0,0.0
-0.001996416,0.0,1.0,0.0,0.0
-0.001996384,0.0,1.2,0.0,0.0
-0.001996352,0.0,1.0,0.0,0.0
-0.00199632,0.2,1.0,0.0,0.0
-0.001996288,0.0,1.0,0.0,0.0
-0.001996256,0.0,1.2,0.0,0.0
-0.001996224,0.0,1.0,0.0,0.0
-0.001996192,0.0,1.2,0.0,0.0
-0.00199616,0.0,1.2,-0.2,0.0
-0.001996128,0.0,1.2,0.0,0.0
-0.001996096,0.0,1.0,0.0,0.0
-0.001996064,0.0,1.0,0.0,0.0
-0.001996032,-0.2,1.0,-0.2,0.0
-0.001996,0.0,1.2,0.0,0.0
-0.001995968,0.0,1.0,0.0,0.0
-0.001995936,0.0,1.0,-0.2,0.0
-0.001995904,0.0,1.0,0.0,0.0
-0.001995872,0.0,1.0,0.0,0.2
-0.00199584,0.0,1.0,0.0,0.0
-0.001995808,0.0,1.2,0.0,0.0
-0.001995776,0.0,1.2,0.0,0.0
-0.001995744,0.0,1.0,-0.2,0.0
-0.001995712,0.0,1.0,-0.2,0.0
-0.00199568,0.0,1.0,0.0,0.0
-0.001995648,0.0,1.0,0.0,0.0
-0.001995616,0.0,1.0,0.0,0.0
-0.001995584,0.0,1.0,-0.2,0.2
-0.001995552,0.0,1.0,-0.2,0.0
-0.00199552,0.0,1.0,0.0,0.0
-0.001995488,0.0,1.0,0.0,0.0
-0.001995456,0.0,1.0,0.0,0.0
-0.001995424,0.0,1.0,0.0,0.0
-0.001995392,0.0,1.2,0.0,0.0
-0.00199536,0.0,1.0,0.0,0.0
-0.001995328,0.0,1.0,-0.2,0.0
-0.001995296,0.0,1.2,0.0,0.0
-0.001995264,0.0,1.0,0.0,0.0
-0.001995232,0.0,1.0,0.0,0.0
-0.0019952,0.0,1.0,0.0,0.0
-0.001995168,0.0,1.2,0.0,0.0
-0.001995136,0.0,1.0,0.0,0.0
-0.001995104,0.0,1.0,0.0,0.0
-0.001995072,0.0,1.2,0.0,0.0
-0.00199504,0.0,1.2,-0.2,0.0
-0.001995008,0.0,1.0,0.0,0.2
-0.001994976,0.0,1.2,0.0,0.0
-0.001994944,0.0,1.0,0.0,0.2
-0.001994912,0.0,1.2,0.0,0.0
-0.00199488,0.0,1.0,0.0,0.0
-0.001994848,0.0,1.0,0.0,0.0
-0.001994816,0.0,1.0,0.0,0.2
-0.001994784,0.0,1.0,-0.2,0.0
-0.001994752,0.0,1.2,0.0,0.0
-0.00199472,0.0,1.0,-0.2,0.0
-0.001994688,0.0,1.0,0.0,0.0
-0.001994656,0.2,1.0,0.0,0.0
-0.001994624,0.0,1.0,0.0,0.0
-0.001994592,0.0,1.0,-0.2,0.2
-0.00199456,0.2,1.0,-0.2,0.0
-0.001994528,0.2,1.0,0.0,0.2
-0.001994496,0.0,1.0,0.0,0.0
-0.001994464,0.0,1.0,0.0,0.0
-0.001994432,0.0,1.0,-0.2,0.0
-0.0019944,0.0,1.0,0.0,0.0
-0.001994368,0.0,1.0,0.0,0.0
-0.001994336,0.0,1.2,0.0,0.0
-0.001994304,0.0,1.0,0.0,0.0
-0.001994272,0.0,1.0,0.0,0.0
-0.00199424,0.0,1.2,0.0,0.0
-0.001994208,0.0,1.0,0.0,0.0
-0.001994176,0.0,1.0,0.0,0.0
-0.001994144,0.0,1.0,0.0,0.0
-0.001994112,0.0,1.0,0.0,0.0
-0.00199408,0.0,1.0,0.0,0.0
-0.001994048,0.0,1.2,-0.2,0.0
-0.001994016,0.0,1.0,0.0,0.0
-0.001993984,0.0,1.2,0.0,0.0
-0.001993952,0.0,1.0,0.0,0.0
-0.00199392,0.2,1.0,0.0,0.0
-0.001993888,0.0,1.2,0.0,0.0
-0.001993856,0.0,1.0,0.0,0.0
-0.001993824,0.0,1.0,0.0,0.0
-0.001993792,0.0,1.0,0.0,0.0
-0.00199376,0.0,1.2,-0.2,0.0
-0.001993728,0.2,1.2,0.0,0.0
-0.001993696,0.0,1.0,0.0,0.0
-0.001993664,0.2,1.0,0.0,0.0
-0.001993632,0.0,1.0,0.0,0.0
-0.0019936,0.0,1.0,0.0,0.0
-0.001993568,0.0,1.0,-0.2,0.0
-0.001993536,0.0,1.0,-0.2,0.0
-0.001993504,0.0,1.0,0.0,0.0
-0.001993472,0.0,1.0,0.0,0.0
-0.00199344,0.0,1.2,0.0,0.0
-0.001993408,0.0,1.2,-0.2,0.0
-0.001993376,0.0,1.0,0.0,0.2
-0.001993344,0.0,1.2,0.0,0.0
-0.001993312,0.0,1.0,0.0,0.0
-0.00199328,0.0,1.0,0.0,0.0
-0.001993248,0.0,1.0,0.0,0.0
-0.001993216,0.0,1.0,0.0,0.0
-0.001993184,0.0,1.0,0.0,0.0
-0.001993152,0.2,1.0,0.0,0.0
-0.00199312,0.0,1.0,0.0,0.0
-0.001993088,0.0,1.0,0.0,0.0
-0.001993056,0.0,1.0,0.0,0.0
-0.001993024,0.0,1.0,0.0,0.2
-0.001992992,0.0,1.0,-0.2,0.2
-0.00199296,0.0,1.2,0.0,0.2
-0.001992928,0.0,1.0,0.0,0.0
-0.001992896,0.2,1.0,0.0,0.0
-0.001992864,0.0,1.0,0.0,0.0
-0.001992832,0.0,1.0,-0.2,0.0
-0.0019928,0.0,1.2,0.0,0.0
-0.001992768,0.2,1.2,0.0,0.0
-0.001992736,0.0,1.2,0.0,0.0
-0.001992704,0.2,1.0,0.0,0.0
-0.001992672,0.0,1.0,0.0,0.0
-0.00199264,0.0,1.2,-0.2,0.0
-0.001992608,0.0,1.0,0.0,0.0
-0.001992576,0.0,1.2,0.0,0.0
-0.001992544,0.0,1.0,0.0,0.0
-0.001992512,0.0,1.0,-0.2,0.0
-0.00199248,0.0,1.0,-0.2,0.0
-0.001992448,0.0,1.0,0.0,0.0
-0.001992416,0.0,1.0,0.0,0.2
-0.001992384,0.0,1.2,0.0,0.2
-0.001992352,0.2,1.0,0.0,0.2
-0.00199232,0.0,1.2,0.0,0.0
-0.001992288,0.0,1.0,0.0,0.0
-0.001992256,0.0,1.0,-0.2,0.0
-0.001992224,0.2,1.2,0.0,0.0
-0.001992192,0.0,1.2,-0.2,0.0
-0.00199216,0.2,1.0,0.0,0.0
-0.001992128,0.0,1.0,0.0,0.0
-0.001992096,0.0,1.0,0.0,0.0
-0.001992064,0.0,1.0,0.0,0.0
-0.001992032,0.0,1.2,0.0,0.0
-0.001992,0.0,1.0,0.0,0.2
-0.001991968,0.0,1.0,0.0,0.0
-0.001991936,0.0,1.2,0.0,0.0
-0.001991904,0.2,1.0,-0.2,0.0
-0.001991872,0.0,1.0,0.0,0.0
-0.00199184,0.2,1.0,0.0,0.0
-0.001991808,0.0,1.0,0.0,0.0
