time,triggeredvoltage_ch1,voltage_ch2,voltage_ch3,voltage_ch4
-0.005,0.96,1.04,0.0,-0.04
-0.00499992,1.0,1.0,-0.04,0.0
-0.00499984,0.96,1.04,0.0,0.0
-0.00499976,0.96,1.0,0.0,0.0
-0.00499968,0.96,1.0,-0.04,0.0
-0.0049996,0.96,1.04,-0.04,0.0
-0.00499952,0.96,1.0,0.0,0.0
-0.00499944,0.96,1.0,0.0,0.0
-0.00499936,1.0,1.04,0.0,0.0
-0.00499928,1.0,1.0,0.0,0.0
-0.0049992,1.0,1.04,-0.04,-0.04
-0.00499912,0.96,1.0,-0.04,0.0
-0.00499904,0.96,1.0,-0.04,-0.04
-0.00499896,1.0,1.04,0.0,-0.04
-0.00499888,1.0,1.04,0.0,0.0
-0.0049988,0.96,1.0,0.0,0.0
-0.00499872,1.0,1.0,0.0,0.0
-0.00499864,0.96,1.0,0.0,0.0
-0.00499856,0.96,1.0,0.0,0.0
-0.00499848,0.96,1.0,0.0,0.0
-0.0049984,1.0,1.0,0.0,0.0
-0.00499832,0.96,1.0,-0.04,0.0
-0.00499824,0.96,1.0,-0.04,-0.04
-0.00499816,0.96,1.0,0.0,0.0
-0.00499808,1.0,1.0,0.0,0.0
-0.004998,1.0,1.0,0.0,0.0
-0.00499792,1.0,1.04,0.0,0.0
-0.00499784,0.96,1.0,0.0,-0.04
-0.00499776,1.0,1.04,0.0,0.0
-0.00499768,0.96,1.0,0.0,0.0
-0.0049976,1.0,1.0,0.0,0.0
-0.00499752,1.0,1.0,-0.04,0.0
-0.00499744,0.96,1.04,0.0,0.0
-0.00499736,1.0,1.0,-0.04,-0.04
-0.00499728,0.96,1.0,0.0,0.0
-0.0049972,0.96,1.04,0.0,0.0
-0.00499712,0.96,1.0,0.0,0.0
-0.00499704,1.0,1.0,0.0,0.0
-0.00499696,1.0,1.0,0.0,0.0
-0.00499688,0.96,1.0,0.0,0.0
-0.0049968,1.0,1.0,0.0,0.0
-0.00499672,0.96,1.0,0.0,0.0
-0.00499664,1.0,1.04,0.0,0.0
-0.00499656,1.0,1.0,0.0,0.0
-0.00499648,1.0,1.0,0.0,0.0
-0.0049964,0.96,1.0,0.0,0.0
-0.00499632,1.0,1.0,-0.04,0.0
-0.00499624,0.96,1.0,0.0,0.0
-0.00499616,1.0,1.0,-0.04,0.0
-0.00499608,0.96,1.0,-0.04,0.0
-0.004996,0.96,1.0,0.0,0.0
-0.00499592,0.96,1.0,-0.04,0.0
-0.00499584,0.96,1.04,0.0,0.0
-0.00499576,1.0,1.04,0.0,0.0
-0.00499568,0.96,1.0,0.0,0.0
-0.0049956,1.0,1.04,0.0,-0.04
-0.00499552,1.0,1.0,0.0,0.0
-0.00499544,1.0,1.0,0.0,0.0
-0.00499536,1.0,1.0,0.0,0.0
-0.00499528,1.0,1.0,0.0,0.0
-0.0049952,1.0,1.0,-0.04,0.0
-0.00499512,0.96,1.0,0.0,0.0
-0.00499504,1.0,1.0,-0.04,0.0
-0.00499496,0.96,1.0,0.0,0.0
-0.00499488,1.0,1.0,0.0,0.0
-0.0049948,0.96,1.0,0.0,0.0
-0.00499472,0.96,1.0,0.0,-0.04
-0.00499464,1.0,1.04,0.0,-0.04
-0.00499456,0.96,1.0,0.0,0.0
-0.00499448,1.0,1.04,0.0,0.0
-0.0049944,0.96,1.0,0.0,0.0
-0.00499432,0.96,1.04,0.0,0.0
-0.00499424,1.0,1.0,0.0,-0.04
-0.00499416,1.0,1.04,0.0,0.0
-0.00499408,1.0,1.0,0.0,0.0
-0.004994,0.96,1.0,0.0,0.0
-0.00499392,1.0,1.0,0.0,-0.04
-0.00499384,1.0,1.0,0.0,0.0
-0.00499376,1.0,1.0,0.0,0.0
-0.00499368,0.96,1.0,0.0,0.0
-0.0049936,1.0,1.0,0.0,0.0
-0.00499352,1.0,1.04,-0.04,0.0
-0.00499344,0.96,1.04,-0.04,0.0
-0.00499336,0.96,1.0,0.0,0.0
-0.00499328,0.96,1.0,-0.04,-0.04
-0.0049932,0.96,1.0,0.0,0.0
-0.00499312,0.96,1.0,0.0,0.0
-0.00499304,1.0,1.0,0.0,0.0
-0.00499296,1.0,1.0,-0.04,-0.04
-0.00499288,1.0,1.0,0.0,0.0
-0.0049928,1.0,1.0,-0.04,0.0
-0.00499272,1.0,1.0,0.0,0.0
-0.00499264,1.0,1.0,0.0,0.0
-0.00499256,1.0,1.0,0.0,0.0
-0.00499248,0.96,1.0,0.0,0.0
-0.0049924,0.96,1.0,0.0,0.0
-0.00499232,0.96,1.0,0.0,0.0
-0.00499224,0.96,1.0,0.0,0.0
-0.00499216,1.0,1.0,0.0,0.0
-0.00499208,1.0,1.0,-0.04,0.0
-0.004992,0.96,1.0,0.0,0.0
-0.00499192,1.0,1.0,0.0,0.0
-0.00499184,1.0,1.0,0.0,0.0
-0.00499176,1.0,1.0,0.0,-0.04
-0.00499168,1.0,1.04,0.0,-0.04
-0.0049916,1.0,1.0,0.0,-0.04
-0.00499152,0.96,1.0,0.0,-0.04
-0.00499144,1.0,1.0,0.0,0.0
-0.00499136,0.96,1.0,0.0,-0.04
-0.00499128,1.0,1.04,0.0,-0.04
-0.0049912,1.0,1.0,0.0,-0.04
-0.00499112,0.96,1.0,0.0,0.0
-0.00499104,1.0,1.0,-0.04,-0.04
-0.00499096,0.96,1.0,-0.04,0.0
-0.00499088,1.0,1.0,0.0,0.0
-0.0049908,0.96,1.04,0.0,0.0
-0.00499072,1.0,1.04,0.0,0.0
-0.00499064,1.0,1.0,0.0,0.0
-0.00499056,1.0,1.0,0.0,0.0
-0.00499048,1.0,1.0,-0.04,0.0
-0.0049904,1.0,1.0,0.0,0.0
-0.00499032,1.0,1.04,0.0,0.0
-0.00499024,1.0,1.0,0.0,0.0
-0.00499016,1.0,1.0,0.0,0.0
-0.00499008,1.0,1.0,0.0,0.0
-0.00499,1.0,1.0,0.0,0.0
-0.00498992,1.0,1.0,-0.04,0.0
-0.00498984,1.0,1.04,-0.04,0.0
-0.00498976,1.0,1.04,0.0,0.0
-0.00498968,1.0,1.0,0.0,0.0
-0.0049896,0.96,1.04,0.0,0.0
-0.00498952,1.0,1.04,0.0,0.0
-0.00498944,1.0,1.04,0.0,0.0
-0.00498936,1.0,1.0,-0.04,-0.04
-0.00498928,1.0,1.0,0.0,0.0
-0.0049892,1.0,1.0,0.0,0.0
-0.00498912,1.0,1.0,0.0,0.0
-0.00498904,1.0,1.0,0.0,0.0
-0.00498896,1.0,1.0,-0.04,0.0
-0.00498888,0.96,1.04,0.0,0.0
-0.0049888,1.0,1.0,0.0,0.0
-0.00498872,1.0,1.04,0.0,0.0
-0.00498864,1.0,1.0,0.0,0.0
-0.00498856,1.0,1.0,0.0,0.0
-0.00498848,1.0,1.0,0.0,0.0
-0.0049884,1.0,1.04,0.0,0.0
-0.00498832,1.0,1.0,0.0,0.0
-0.00498824,1.0,1.04,0.0,0.0
-0.00498816,1.0,1.04,-0.04,0.0
-0.00498808,1.0,1.04,0.0,0.0
-0.004988,1.0,1.04,-0.04,0.0
-0.00498792,1.0,1.04,0.0,0.0
-0.00498784,1.0,1.0,0.0,0.0
